status_checking_account,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate,personal_status_sex,other_debtors,present_residence_since,property,age,other_installment_plans,housing,num_existing_credits,job,num_dependents,telephone,foreign_worker,target
A12,50,A32,A45,20497,A65,A75,4,A92,A103,4,A124,42,A143,A152,1,A173,1,A192,A201,1
A14,15,A32,A42,3558,A61,A72,3,A93,A101,4,A124,36,A143,A152,1,A174,1,A191,A201,1
A13,65,A34,A43,3032,A61,A73,2,A93,A101,1,A122,53,A143,A153,1,A173,1,A191,A201,1
A13,11,A34,A48,6059,A65,A73,3,A93,A101,2,A121,43,A143,A152,1,A173,1,A191,A202,1
A11,24,A32,A44,1771,A61,A75,2,A92,A101,1,A123,35,A143,A152,1,A173,2,A191,A201,1
A11,28,A32,A46,2985,A61,A73,4,A92,A101,2,A122,50,A141,A152,1,A173,1,A191,A201,1
A11,15,A32,A49,3118,A61,A74,4,A92,A101,1,A121,74,A143,A152,1,A173,1,A191,A201,1
A14,18,A33,A41,1978,A65,A74,3,A93,A101,4,A124,42,A143,A151,1,A173,2,A191,A201,1
A13,62,A30,A44,7783,A61,A72,4,A93,A101,4,A121,25,A143,A152,2,A172,1,A192,A201,0
A13,29,A32,A48,2502,A64,A73,4,A92,A101,4,A121,31,A143,A152,2,A173,1,A191,A201,1
A11,29,A32,A410,860,A65,A73,3,A93,A101,4,A121,45,A143,A152,2,A173,1,A192,A201,1
A14,50,A34,A42,2342,A61,A73,4,A93,A101,4,A123,66,A143,A153,2,A173,1,A191,A202,1
A14,35,A32,A48,3638,A61,A73,4,A93,A101,1,A123,23,A143,A152,2,A174,1,A192,A201,1
A11,13,A32,A410,1458,A65,A71,4,A93,A101,1,A122,54,A143,A152,1,A173,1,A192,A201,1
A11,19,A32,A45,1553,A61,A75,1,A92,A102,4,A122,44,A143,A152,1,A172,1,A192,A201,1
A11,20,A33,A43,1925,A64,A75,4,A93,A101,2,A122,60,A143,A151,1,A173,1,A192,A201,1
A12,26,A31,A46,7918,A65,A73,4,A92,A101,2,A123,63,A143,A152,1,A174,1,A191,A201,1
