Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000001,Male,No,3+,Graduate,No,8032,70,115.0,360.0,1.0,Rural,Y
LP000002,Female,No,1,Graduate,No,12366,417,145.0,360.0,,Semiurban,N
LP000003,Male,Yes,3+,Not Graduate,No,2506,835,99.0,240.0,1.0,Urban,Y
LP000004,,Yes,0,Graduate,No,2834,1140,112.0,360.0,1.0,Rural,Y
LP000005,Male,No,0,Graduate,Yes,9050,360,81.0,360.0,1.0,Rural,Y
LP000006,Male,No,0,Graduate,Yes,5784,693,119.0,360.0,1.0,Rural,Y
LP000007,Male,Yes,2,Not Graduate,No,6842,33,87.0,360.0,1.0,Semiurban,Y
LP000008,Female,Yes,0,Graduate,No,6029,301,77.0,,1.0,Urban,Y
LP000009,Male,Yes,3+,Graduate,No,6213,1146,134.0,360.0,,Semiurban,Y
LP000010,Male,,1,Not Graduate,No,2217,204,132.0,240.0,1.0,Semiurban,Y
LP000011,Male,Yes,3+,Not Graduate,No,9213,713,166.0,360.0,1.0,Rural,Y
LP000012,Female,Yes,0,Not Graduate,No,9914,1137,102.0,120.0,1.0,Semiurban,Y
LP000013,Female,Yes,3+,Not Graduate,No,4282,440,143.0,120.0,1.0,Rural,Y
LP000014,Male,No,2,Graduate,No,4788,816,151.0,360.0,1.0,Urban,Y
LP000015,Male,Yes,2,Graduate,No,1961,209,145.0,360.0,1.0,Semiurban,Y
LP000016,Male,Yes,2,Graduate,Yes,6691,519,87.0,240.0,1.0,Rural,Y
LP000017,,No,2,Not Graduate,Yes,6927,1383,128.0,120.0,1.0,Semiurban,Y
LP000018,Male,No,1,Graduate,No,4734,803,140.0,360.0,0.0,Urban,N
LP000019,Male,Yes,0,Graduate,,9649,329,121.0,360.0,0.0,Semiurban,Y
LP000020,Male,Yes,0,Graduate,Yes,4022,870,52.0,360.0,1.0,Semiurban,Y
LP000021,Male,,3+,Graduate,No,6896,1567,129.0,360.0,1.0,Urban,Y
LP000022,Male,Yes,1,Graduate,No,2665,56,,360.0,1.0,Rural,Y
LP000023,Male,Yes,2,Not Graduate,No,4845,2672,105.0,,0.0,Semiurban,N
LP000024,,Yes,1,Not Graduate,No,4426,444,90.0,,1.0,Semiurban,Y
LP000025,Male,Yes,0,Graduate,No,5626,1108,141.0,360.0,1.0,Rural,Y
LP000026,,Yes,0,Graduate,Yes,3937,2798,137.0,360.0,1.0,Semiurban,Y
LP000027,Male,Yes,2,Graduate,Yes,4541,128,195.0,360.0,1.0,Urban,Y
LP000028,Male,Yes,1,Graduate,No,8067,283,73.0,360.0,1.0,Rural,Y
LP000029,Male,Yes,0,Not Graduate,No,3781,470,162.0,360.0,1.0,Semiurban,Y
LP000030,Male,Yes,1,Graduate,Yes,1874,259,153.0,360.0,1.0,Semiurban,Y
LP000031,Male,Yes,0,Graduate,No,14041,5334,114.0,360.0,1.0,Semiurban,Y
LP000032,Male,No,1,Not Graduate,Yes,11258,237,139.0,360.0,1.0,Semiurban,Y
LP000033,Male,Yes,0,Graduate,No,2263,341,183.0,120.0,1.0,Urban,Y
LP000034,,No,2,Graduate,No,7434,850,172.0,360.0,0.0,Semiurban,N
LP000035,Female,No,0,Graduate,No,3634,157,76.0,360.0,1.0,Urban,Y
LP000036,Female,Yes,1,Graduate,No,5756,413,168.0,360.0,0.0,Urban,Y
LP000037,Male,Yes,0,Graduate,No,5863,973,118.0,120.0,1.0,Urban,Y
LP000038,Male,Yes,0,Graduate,No,4269,446,125.0,360.0,1.0,Rural,Y
LP000039,Male,Yes,0,Graduate,No,3070,594,125.0,360.0,1.0,Urban,Y
LP000040,Male,No,1,Not Graduate,No,3247,352,114.0,360.0,1.0,Urban,Y
LP000041,Male,Yes,1,Graduate,No,2836,108,195.0,360.0,1.0,Urban,Y
LP000042,Male,Yes,0,Graduate,Yes,2983,978,117.0,360.0,1.0,Urban,Y
LP000043,Male,Yes,2,Graduate,Yes,4720,5463,77.0,360.0,1.0,Semiurban,Y
LP000044,Female,Yes,3+,Graduate,No,3198,679,103.0,360.0,1.0,Rural,Y
LP000045,Male,Yes,2,Graduate,No,7399,871,130.0,360.0,1.0,Urban,Y
LP000046,Male,Yes,0,Graduate,No,11996,1527,198.0,360.0,,Semiurban,N
LP000047,Male,,1,Graduate,No,3470,145,154.0,360.0,1.0,Semiurban,Y
LP000048,Male,No,0,Not Graduate,Yes,5673,5130,86.0,180.0,,Semiurban,N
LP000049,Male,Yes,0,Graduate,No,6632,847,328.0,360.0,1.0,Urban,Y
LP000050,Male,Yes,3+,Graduate,,6523,4713,135.0,180.0,1.0,Semiurban,Y
LP000051,Female,Yes,0,Not Graduate,No,5143,275,202.0,360.0,0.0,Urban,N
LP000052,Male,Yes,1,Graduate,No,7674,5893,114.0,360.0,1.0,Urban,Y
LP000053,Female,Yes,1,Graduate,,6563,1686,150.0,360.0,1.0,Urban,Y
LP000054,Female,Yes,2,Graduate,,2338,1291,169.0,120.0,1.0,Semiurban,Y
LP000055,Male,Yes,1,Graduate,No,8279,880,197.0,360.0,0.0,Urban,Y
LP000056,Female,Yes,0,Graduate,Yes,8369,493,185.0,360.0,1.0,Urban,Y
LP000057,Male,Yes,0,Graduate,No,3108,2809,172.0,360.0,1.0,Urban,Y
LP000058,Male,No,1,Not Graduate,No,5027,787,107.0,360.0,1.0,Semiurban,Y
LP000059,,Yes,0,Graduate,No,7405,62,96.0,360.0,1.0,Semiurban,Y
LP000060,Male,Yes,0,Graduate,Yes,4334,174,138.0,360.0,1.0,Urban,Y
LP000061,Male,Yes,0,Graduate,,9356,532,176.0,360.0,1.0,Rural,Y
LP000062,Male,No,0,Graduate,No,20298,964,111.0,360.0,1.0,Rural,Y
LP000063,Female,Yes,0,Graduate,No,3066,621,,360.0,1.0,Semiurban,Y
LP000064,Male,Yes,0,Graduate,No,2146,2872,217.0,360.0,1.0,Urban,Y
LP000065,Male,No,1,Not Graduate,No,5897,63,84.0,360.0,1.0,Semiurban,Y
LP000066,Male,,2,Graduate,No,7577,790,86.0,360.0,1.0,Urban,Y
LP000067,Male,No,2,Graduate,No,4279,75,114.0,360.0,,Semiurban,N
LP000068,,Yes,0,Graduate,No,11754,1655,137.0,360.0,1.0,Urban,Y
LP000069,,Yes,0,Graduate,No,2201,593,98.0,120.0,1.0,Urban,Y
LP000070,Female,No,0,Not Graduate,No,7448,1100,208.0,120.0,1.0,Urban,Y
LP000071,Male,No,1,Not Graduate,No,3416,235,143.0,,1.0,Rural,Y
LP000072,Male,,2,Graduate,Yes,13789,3088,123.0,,1.0,Urban,Y
LP000073,Male,Yes,0,Graduate,No,16244,2321,68.0,360.0,1.0,Semiurban,Y
LP000074,Female,Yes,3+,Graduate,Yes,3102,1339,71.0,360.0,1.0,Urban,Y
LP000075,Male,No,0,Not Graduate,No,3534,569,135.0,360.0,1.0,Semiurban,Y
LP000076,Male,Yes,1,Graduate,No,8231,1333,51.0,360.0,1.0,Semiurban,Y
LP000077,Male,Yes,2,Graduate,No,3896,284,182.0,360.0,1.0,Semiurban,Y
LP000078,Male,Yes,3+,Graduate,No,4782,1856,114.0,240.0,,Semiurban,N
LP000079,Male,Yes,2,Graduate,No,4990,4814,444.0,180.0,1.0,Semiurban,Y
LP000080,Male,Yes,2,Graduate,No,1553,2403,305.0,360.0,1.0,Urban,Y
LP000081,Female,Yes,0,Graduate,No,4874,277,113.0,360.0,1.0,Semiurban,Y
LP000082,Male,Yes,2,Graduate,No,3249,1026,116.0,360.0,1.0,Urban,Y
LP000083,Male,Yes,0,Not Graduate,No,3656,140,180.0,360.0,1.0,Semiurban,N
LP000084,Male,Yes,3+,Graduate,No,11686,1321,240.0,360.0,1.0,Semiurban,Y
LP000085,Male,Yes,1,Graduate,No,2312,1142,63.0,360.0,1.0,Urban,Y
LP000086,Male,Yes,2,Graduate,No,8005,70,59.0,360.0,1.0,Urban,Y
LP000087,Male,Yes,1,Graduate,No,4157,164,94.0,360.0,1.0,Rural,Y
LP000088,Male,Yes,1,Graduate,No,4155,473,153.0,360.0,1.0,Semiurban,Y
LP000089,Female,Yes,1,Graduate,No,7896,463,148.0,360.0,1.0,Semiurban,Y
LP000090,Male,Yes,2,Graduate,No,6027,155,186.0,360.0,1.0,Rural,Y
LP000091,Male,Yes,0,Graduate,No,6921,1060,75.0,180.0,1.0,Semiurban,Y
LP000092,Male,No,0,Graduate,No,8785,899,48.0,360.0,1.0,Semiurban,Y
LP000093,Male,Yes,0,Graduate,No,4028,526,171.0,360.0,1.0,Urban,Y
LP000094,Male,No,0,Not Graduate,No,3403,268,87.0,360.0,0.0,Urban,N
LP000095,Male,Yes,3+,Graduate,No,2562,2341,54.0,360.0,1.0,Semiurban,Y
LP000096,Male,No,0,Not Graduate,No,2995,4848,128.0,120.0,0.0,Semiurban,N
LP000097,Male,No,3+,Graduate,No,28838,372,166.0,360.0,1.0,Semiurban,Y
LP000098,Male,Yes,0,Graduate,Yes,10371,319,115.0,360.0,1.0,Rural,Y
LP000099,Male,Yes,,Graduate,No,2184,1199,101.0,360.0,1.0,Urban,Y
LP000100,Male,Yes,2,Graduate,Yes,2222,432,114.0,300.0,0.0,Rural,N
LP000101,Male,Yes,2,Not Graduate,No,6562,562,104.0,360.0,1.0,Urban,Y
LP000102,Male,No,1,Graduate,,6825,1615,70.0,360.0,1.0,Urban,Y
LP000103,Male,No,1,Not Graduate,No,6831,67,91.0,360.0,1.0,Semiurban,Y
LP000104,Male,No,2,Graduate,No,4217,3235,149.0,360.0,1.0,Urban,Y
LP000105,Female,Yes,0,Graduate,,4558,725,138.0,360.0,1.0,Semiurban,Y
LP000106,Male,No,,Graduate,No,5983,405,129.0,,,Rural,N
LP000107,Male,No,3+,Graduate,No,5174,597,81.0,360.0,,Semiurban,N
LP000108,Male,Yes,2,Graduate,No,1297,635,113.0,240.0,1.0,Urban,Y
LP000109,Male,Yes,0,Graduate,No,4281,83,50.0,360.0,,Urban,Y
LP000110,Male,No,2,Graduate,No,2948,3999,130.0,360.0,1.0,Urban,Y
LP000111,Male,Yes,0,Graduate,No,5459,698,215.0,360.0,1.0,Semiurban,Y
LP000112,Male,No,0,Graduate,No,29470,1131,67.0,360.0,1.0,Semiurban,Y
LP000113,Female,Yes,0,Not Graduate,No,6127,2083,96.0,360.0,1.0,Rural,Y
LP000114,,No,,Not Graduate,Yes,4071,195,138.0,,,Urban,N
LP000115,Male,Yes,3+,Graduate,No,8544,1173,200.0,360.0,1.0,Semiurban,Y
LP000116,Female,Yes,2,Graduate,Yes,6565,482,101.0,,1.0,Urban,Y
LP000117,Female,Yes,2,Graduate,No,6323,1837,92.0,360.0,1.0,Urban,Y
LP000118,Male,No,,Not Graduate,No,7073,51,55.0,360.0,1.0,Semiurban,Y
LP000119,Female,No,0,Graduate,No,16880,590,126.0,360.0,1.0,Semiurban,Y
LP000120,,Yes,0,Graduate,No,2493,322,275.0,360.0,,Urban,N
LP000121,Female,Yes,3+,Not Graduate,Yes,6530,1117,135.0,360.0,1.0,Urban,Y
LP000122,,No,0,Graduate,No,2819,1169,120.0,300.0,1.0,Semiurban,Y
LP000123,Male,Yes,3+,Graduate,No,6858,284,138.0,240.0,1.0,Urban,Y
LP000124,Male,No,1,Graduate,No,2832,282,120.0,360.0,1.0,Urban,Y
LP000125,Male,Yes,1,Graduate,No,3826,582,87.0,360.0,1.0,Semiurban,Y
LP000126,Male,Yes,2,Graduate,Yes,4117,226,168.0,360.0,1.0,Semiurban,Y
LP000127,Female,Yes,1,Graduate,No,8826,1826,132.0,180.0,1.0,Rural,Y
LP000128,Female,Yes,3+,Graduate,No,8527,427,122.0,360.0,1.0,Semiurban,Y
LP000129,Male,No,3+,Graduate,No,2327,20,82.0,360.0,1.0,Semiurban,Y
LP000130,Male,Yes,1,Not Graduate,No,5079,424,204.0,360.0,1.0,Urban,Y
LP000131,Male,Yes,0,Graduate,No,3210,191,158.0,,1.0,Semiurban,Y
LP000132,Male,,1,Graduate,No,2309,93,97.0,360.0,1.0,Rural,Y
LP000133,Male,Yes,3+,Graduate,No,4314,150,181.0,360.0,1.0,Urban,Y
LP000134,Male,Yes,0,Not Graduate,No,4084,758,99.0,360.0,,Rural,N
LP000135,Female,No,1,Graduate,No,21078,3275,88.0,,1.0,Urban,Y
LP000136,Male,Yes,1,Graduate,No,6372,968,89.0,360.0,1.0,Urban,Y
LP000137,Male,Yes,2,Not Graduate,No,2150,321,59.0,360.0,1.0,Urban,Y
LP000138,Male,No,0,Not Graduate,No,3502,1149,146.0,360.0,1.0,Rural,Y
LP000139,Male,Yes,2,Graduate,No,9070,383,58.0,360.0,1.0,Semiurban,Y
LP000140,Female,Yes,3+,Not Graduate,No,17206,289,74.0,360.0,0.0,Semiurban,N
LP000141,Female,Yes,,Graduate,No,1897,166,52.0,360.0,1.0,Semiurban,Y
LP000142,Male,No,0,Graduate,No,1590,81,117.0,360.0,1.0,Urban,Y
LP000143,Male,Yes,3+,Graduate,No,15101,416,114.0,360.0,1.0,Urban,Y
LP000144,Male,Yes,0,Graduate,No,6209,804,106.0,360.0,1.0,Urban,Y
LP000145,Male,No,3+,Graduate,No,2919,592,80.0,360.0,1.0,Urban,Y
LP000146,Male,No,1,Graduate,No,6773,403,76.0,360.0,,Urban,Y
LP000147,Male,Yes,0,Graduate,No,1010,213,146.0,360.0,1.0,Semiurban,Y
LP000148,Male,Yes,3+,Graduate,,4924,1380,97.0,240.0,1.0,Semiurban,Y
